ID_PAID;DATA;COOKIEID;ID_SEX;ID_ETA;ID_INTERESSE_1;ID_INTERESSE2;ID_INTERESSE3;ID_DEVICE;ID_TYPE;PAGEVIEW_INDEX;NUM;ID_CAMPAIGN;ID_SOTTO1;ID_SOTTO2;ID_SOTTO3;ID_COUNTRY;ID_PROVINCIA;ID_CITY
1709960;03/11/2019;0000000000000000002da567fc41c05a3;1;3;18;32;25;2;1;5;1;21;11;10;5;1;2;2
1709961;03/11/2019;0000000000000000002da574e122a05d3;2;3;33;23;18;2;1;3;1;26;2;2;2;1;4;4
1709962;03/11/2019;0000000000000000002da57913e3c0143;2;1;26;29;30;2;1;1;1;26;2;2;2;1;4;4
1709963;03/11/2019;0000000000000000002da57a90622059d;1;1;16;35;25;2;1;3;1;18;2;2;2;1;9;10
1709964;03/11/2019;0000000000000000002da57b724f405d2;2;2;13;35;16;2;1;1;2;12;2;2;2;1;5;26
1709965;03/11/2019;0000000000000000002da57ea8ace05cb;2;5;23;11;33;2;1;5;1;12;43;26;2;1;13;60
1709966;03/11/2019;0000000000000000002da58164d640105;2;1;18;28;30;2;1;3;1;26;9;4;99;1;2;2
1709967;03/11/2019;0000000000000000002da581a583405db;2;2;13;28;16;2;1;1;1;26;37;2;2;1;2;31
1709968;03/11/2019;0000000000000000002da583799c405b2;3;1;25;25;25;2;1;0;1;20;2;2;2;1;6;62
1709969;03/11/2019;0000000000000000002da58c7c16800e3;3;1;25;25;25;2;1;0;1;20;2;2;2;1;32;73
1709970;03/11/2019;0000000000000000002da5911be1205c4;1;1;31;25;25;2;1;1;1;16;2;2;2;1;9;127
1709971;03/11/2019;0000000000000000002da591d71160115;2;2;13;11;32;2;1;2;1;27;21;170;11;1;4;4
1709972;03/11/2019;0000000000000000002da5bafbcf20157;3;1;25;25;25;2;1;0;1;27;2;2;2;1;20;29
1709973;03/11/2019;0000000000000000002da5bafbcf20157;3;1;25;25;25;2;1;0;1;26;2;2;2;1;20;29
1709974;03/11/2019;0000000000000000002da5baffe3405ba;1;3;18;25;25;2;1;3;1;23;2;2;2;1;4;4
1709975;03/11/2019;0000000000000000002da5c39ab3405c7;1;2;26;27;3;2;1;1;2;12;116;205;2;1;2;25
1709976;03/11/2019;0000000000000000002da5d0d205c0597;2;2;22;28;11;1;1;2;2;26;51;3;2;1;3;3
